drive_id,path,bytes,status
11Q5-WQZppB20pNx7ERfvxlQDUXM8_him,ئایینی/aysha-with-pdf-covers.pdf,6064908,downloaded
1IJDP319r6fxqePdNO7mNB9MI_7jxLVSz,ئایینی/dlepaqj.pdf,235026,downloaded
1ILqsIjpVlB6XK1Q0ye7OwwCd8xZ3bnD6,ئایینی/do3a.pdf,603632,downloaded
11QsqDgk5JElVg-mW04944NBVNi_UyH0p,ئایینی/pexember-u-ezmuna-with-covers-pdf (1).pdf,14299801,downloaded
1G8Dg-Ifu0s1XNtHNBF5t2y0uGNDbN-nj,ئایینی/ئەو کەسێن رەحم پێ دئێتە برن.pdf,1550423,downloaded
1GAz2nGChykLVVg5YsD5FIdV_BHjAqoDW,ئایینی/اسمائ الحسنا.pdf,131200,downloaded
1RAIFOdWME9JwASqmhBq9UcwimA4-EiWn,ئایینی/بانگهەڵدێر.pdf,237744,downloaded
1Gf8vuI9i5FnHYjBjR7CPM4kz7ZkGOL6R,ئایینی/بشةرم فة هات.pdf,1310830,downloaded
1GsGaZDkd0_QFOTLXtz7is46qWCh1YXjL,ئایینی/بناغەیێن ئیسلامێ.pdf,3907265,downloaded
1GWR61glUCCk4mS5LZJnDuaPG4Vv2YPVa,ئایینی/بوچی ئەم موسلمانین ؟.pdf,801448,downloaded
1BKZUF2Ojd4ZjJO8unXng44xDvFAtlRQz,ئایینی/بیروباوه_ری_خوووه_ربگره_ژقورئان_وسونه_ت2.pdf,9469155,downloaded
19usa0gA3Vpn_b8_G0r5-mLIW9DeycxiW,ئایینی/تةفسيرا قورغانا بيروز.pdf,5250604,downloaded
1G6X8qKz9oRHM4mVJp6r1hJWOhmpe98h1,ئایینی/توحيدنامه.pdf,565754,downloaded
1GHRkUvWDpyCujHqslIl0d-LRTwznIhNJ,ئایینی/جیهانا خەونا.pdf,434109,downloaded
1GsmqQ0DJBtP1GF493b5HnzQLiWcsNR-l,ئایینی/جەهنەم وارێ پەشیمانان.PDF,350289,downloaded
1GalbJoLcl1j_sjb3qEa8riIIMrQXxpIP,ئایینی/حوكمى موسيقئ.pdf,11618037,downloaded
1H8TrEhE1Jjx7rOh5p6Emw6UCjpzMqG-G,ئایینی/خودانکرنا ژنێ و دۆزا یەکسانیێ.pdf,279971,downloaded
1b7SvfuyJZpqaha8TQMAbGoWN72qYXkJt,ئایینی/دان و ستاندن دگەل هەڤالێ منێ بێ باوەر,1294296,downloaded
1GRWMRBnUx1bpvTuFgJ5X28Yt5jsMmdoY,ئایینی/رياض الصالحين ب كوردى.pdf,33954664,downloaded
1GDFP4hQ0tHF3bdyHDGoIaoEqW7BzFM03,ئایینی/زانايين دةسهةلاتى _وةحيد سندى.pdf,329217,downloaded
1H4b4MLPVdXBTK-09n-Y7R2mwQhUnpS7r,ئایینی/زڤــڕیــن بەر ب خودێ_ ڤە.pdf,353069,downloaded
1GtR3B2fqKR_Flof7xpiXB4At-g2G5iWd,ئایینی/سێ+ڕویدانێن+پشتی+مرنێ.pdf,1105141,downloaded
1RAlXxdcC-Qg7TVUMs45lloeA6RHH81oF,ئایینی/سەرهاتیێن ئیسلامی.pdf,107626,downloaded
1B3eerjNVoin5AFDKJT4k7btUvqfaklkQ,ئایینی/شەڕ و ئاشتی__مزگین زرار1117605307.pdf,859276,downloaded
1GA5vaWxmOcwpabpV4nQvSyDztVDvFGoT,ئایینی/عادەالسریە ؛ دەسپەر.pdf,1179853,downloaded
1B4OPOOsSZn1ViYaICh4jhfXwpgfajUuH,ئایینی/قورئان و پەرەسەندن_مزگين زرار157574453.pdf,2758554,downloaded
1GwWDrNJJwhguTRByCF1UzW6QWn5xt06U,ئایینی/هەڤدژی+د+قورئانێ+دا+نینە.pdf,4709530,downloaded
1Jr4M2hoP-MiAp-asVZXpB6Em7m1kJPe8,ئایینی/پرسیار و برسڤێن شەرعی بو ئافرەتا.pdf,1144720,downloaded
1H4DaWM08AZX2rAqyr4BX10iIJjhCqWRj,ئایینی/پێخەمەت مالەکا بێ گرفتاری.pdf,3229914,downloaded
1H-2wZWrDLtudyGgFS2ozvmXstRBF4b1B,ئایینی/چاڤا لکەسێ نەدە.pdf,4980012,downloaded
1Gaz9pe4duwCyaNKaox7z31I9StZ_dp9k,ئایینی/چەوادئ نڤێژێ کەی.pdf,943882,downloaded
1GoES7OY3J9lpIg0S-Uv3GQ1jg2cq1ouj,ئایینی/ژ سالوخه_تێن خودا په_رێسان.pdf,336840,downloaded
1Gcd2RWNFxr6w5OYMG2TIcHaXZU5mtjpg,ئایینی/ژ شیرەتێن پێغەمبەری سلاڤ لێ_ بن.pdf,364642,downloaded
1GD0so7mOzYNU4P5JCTH5KPalctoe89OF,ئایینی/ژن لبەر سیبەرا ئیسلامێ.pdf,646289,downloaded
1GThul_G_g5eNbaRxuB_Qb3P9NakHF8dQ,ئایینی/ژياناما پێغەمبەرێ خودێ.pdf,9302142,downloaded
1Gd26orc1CiRQb8SdLV_oYJ-gQcAu0jwJ,ئایینی/ڤەوژارتنا دلان.pdf,1454150,downloaded
1GZLoL9k26Le6ebAiXbZb_a1ae5KGGSN-,ئایینی/گازى وگازيكه_ر دچل حه_ديسێن پێغه_مبه_رى دا.pdf,485033,downloaded
1H4zI7j4xPfT5Tap8SDetY4NgrOvUeQqD,ئایینی/یەکخوداپەرستی+د+ئنجیلێ+دا.pdf,720405,downloaded
1XSN5C00C_JrAMqW3LnV21s8X7_PscY9v,جوراوجور/100 کاریگەرترین کەسایەتیێن جیهانێ .pdf,65720539,downloaded
1I8OahaNViqWoRxCyJBkbF5v-m74A7DrQ,جوراوجور/barzani-xwe-nade-dest-kese-kerim-findi1.pdf,3620781,downloaded
